Region,Period Begin,Period End,Avg Sale To List,Homes Sold,Inventory,Median Dom,Median List Price,months_of_supply,New Listings,Period Duration,Price Drops,Sold Above List
"Chicago, IL",6/1/2013,6/30/2013,0.981860142,2902,13006,68,229000,4.5,4100,30,0.157542673,0.286698828
"Chicago, IL",3/1/2015,3/31/2015,0.972050181,2406,12184,82,269900,5.1,4818,30,0.175804334,0.241064007
"Chicago, IL",10/1/2012,10/31/2012,0.963404689,2577,13681,87,164900,5.3,3156,30,0.201008698,0.236709352
"Boston, MA",8/1/2017,8/31/2017,1.009556415,693,904,10,619450,1.3,470,30,0.246681416,0.461760462
National,2/1/2018,2/28/2018,0.977247052,170786,626618,53,319000,3.7,259172,30,0.187077294,0.211816359
"San Diego, CA",8/1/2016,8/31/2016,0.982440792,1566,2969,22,539000,1.9,1656,30,0.322667565,0.212005109
"Chicago, IL",3/1/2012,3/31/2012,0.953142198,1973,15587,121,199900,7.9,4099,30,0.210303458,0.222616633
"San Francisco, CA",4/1/2017,4/30/2017,1.098198802,439,845,20,1225000,1.9,546,30,0.119526627,0.708428246
"Chicago, IL",11/1/2015,11/30/2015,0.974342666,2191,11604,70,219000,5.3,2360,30,0.169424336,0.241426612
"Los Angeles, CA",6/1/2014,6/30/2014,0.998649032,2590,6394,20,549000,2.5,3368,30,0.263215515,0.378764479
"Seattle, WA",5/1/2013,5/31/2013,1.012068013,1117,1656,8,409950,1.5,1430,30,0.265096618,0.452999105
"Boston, MA",3/1/2015,3/31/2015,0.991451175,367,871,69,539999,2.4,731,30,0.117106774,0.307901907
"Boston, MA",9/1/2015,9/30/2015,1.000947665,536,1192,13,569900,2.2,893,30,0.255033557,0.39738806
"San Diego, CA",7/1/2015,7/31/2015,0.981626724,1626,3372,22,519000,2.1,1914,30,0.274317912,0.229538462
National,10/1/2015,10/31/2015,0.97501128,230644,865179,54,262500,3.8,261128,30,0.248468814,0.192902364
"Washington, DC",5/1/2016,5/31/2016,1.006561604,893,1554,12,549900,1.7,1057,30,0.273487773,0.404255319
"Washington, DC",8/1/2017,8/31/2017,0.999020524,905,1468,20,493000,1.6,774,30,0.270435967,0.337016575
"Seattle, WA",6/1/2016,6/30/2016,1.044644267,1435,1046,8,550000,0.7,1383,30,0.26959847,0.536585366
"Los Angeles, CA",6/1/2013,6/30/2013,1.014781908,2775,5128,15,495000,1.8,3519,30,0.196177847,0.494232156
"Seattle, WA",2/1/2014,2/28/2014,1.003360226,630,1243,18,424950,2,841,30,0.236524537,0.331746032
"Seattle, WA",9/1/2012,9/30/2012,0.991559011,701,2008,17,415000,2.9,1035,30,0.28187251,0.310984308
"San Francisco, CA",12/1/2016,12/31/2016,1.037754117,465,475,40,1199000,1,137,30,0.103157895,0.531182796
"Chicago, IL",2/1/2014,2/28/2014,0.97470312,1789,10437,80,249000,5.8,3399,30,0.161061608,0.260480715
"San Francisco, CA",4/1/2014,4/30/2014,1.107301181,579,524,14,949000,0.9,599,30,0.110687023,0.766839378
National,4/1/2013,4/30/2013,0.97654251,201297,689425,57,247700,3.4,272856,30,0.105294992,0.23441068
National,11/1/2014,11/30/2014,0.972949799,171407,804736,62,237800,4.7,176809,30,0.157834371,0.168604107
"Chicago, IL",10/1/2017,10/31/2017,0.97213542,2347,11095,63,269950,4.7,2757,30,0.238215412,0.202812101
"Chicago, IL",1/1/2012,1/31/2012,0.95308512,1856,14669,109,169000,7.9,2926,30,0.204512918,0.209051724
"San Jose, CA",12/1/2014,12/31/2014,1.010275767,693,575,28,655000,0.8,303,30,0.123478261,0.520923521
"San Francisco, CA",6/1/2013,6/30/2013,1.093538417,580,727,14,799000,1.3,652,30,0.156808803,0.75862069
National,10/1/2013,10/31/2013,0.975213516,201305,741795,55,237600,3.7,220022,30,0.156257457,0.211783931
"San Jose, CA",2/1/2016,2/29/2016,1.035268569,411,829,18,789000,2,768,30,0.104945718,0.686131387
"Seattle, WA",1/1/2016,1/31/2016,1.014124895,527,765,12,549000,1.5,772,30,0.17124183,0.434535104
"Seattle, WA",8/1/2013,8/31/2013,1.007197137,1104,1986,12,399000,1.8,1176,30,0.289526687,0.363224638
"Chicago, IL",8/1/2014,8/31/2014,0.976373048,3453,13346,57,233900,3.9,3647,30,0.221714371,0.236026643
"Washington, DC",10/1/2015,10/31/2015,1.000107381,738,1753,16,539900,2.4,1044,30,0.329150029,0.358208955
"San Jose, CA",10/1/2013,10/31/2013,1.019614366,851,1100,16,599000,1.3,779,30,0.26,0.573443008
National,8/1/2016,8/31/2016,0.98180106,284377,847618,44,272000,3,303566,30,0.255129079,0.228293649
"San Francisco, CA",10/1/2016,10/31/2016,1.070513716,496,1109,22,1199000,2.2,565,30,0.185752931,0.657258065
"Washington, DC",2/1/2014,2/28/2014,0.991227442,510,1212,38,449000,2.4,655,30,0.190594059,0.278978389
"Seattle, WA",3/1/2014,3/31/2014,1.007186287,836,1266,13,419950,1.5,1091,30,0.262243286,0.40430622
"San Jose, CA",2/1/2018,2/28/2018,1.120545316,457,416,9,998000,0.9,653,30,0.076923077,0.873085339
"San Diego, CA",11/1/2013,11/30/2013,0.977606488,1148,3082,31,449000,2.7,1116,30,0.256002596,0.198606272
"Seattle, WA",9/1/2013,9/30/2013,0.999931146,890,2032,14,425000,2.3,1165,30,0.335629921,0.338202247
"Seattle, WA",1/1/2015,1/31/2015,0.999772702,515,952,27,435000,1.8,763,30,0.232142857,0.285436893
"Washington, DC",7/1/2014,7/31/2014,1.001588089,874,1536,14,469900,1.8,862,30,0.26953125,0.375286041
National,5/1/2013,5/31/2013,0.981689535,224853,711877,51,251900,3.2,278138,30,0.111902758,0.243614573
"San Francisco, CA",10/1/2015,10/31/2015,1.117117618,540,798,15,1149000,1.5,703,30,0.205513784,0.803703704
"Chicago, IL",2/1/2012,2/29/2012,0.950925893,1503,15238,119,193000,10.1,3593,30,0.190838693,0.223552894
National,6/1/2015,6/30/2015,0.979085388,293428,907540,46,267400,3.1,335890,30,0.231230579,0.224005511
"Seattle, WA",2/1/2018,2/28/2018,1.076184695,643,505,7,695000,0.8,806,30,0.174257426,0.653125
"San Francisco, CA",4/1/2015,4/30/2015,1.128718535,528,552,14,1099000,1,637,30,0.092391304,0.763257576
"San Francisco, CA",5/1/2017,5/31/2017,1.096719449,504,808,19,1100000,1.6,603,30,0.180693069,0.694444444
"Seattle, WA",8/1/2017,8/31/2017,1.052325717,1248,839,8,629150,0.7,1154,30,0.292014303,0.580722892
"Washington, DC",6/1/2016,6/30/2016,1.00126455,959,1528,15,552450,1.6,1020,30,0.285994764,0.373305527
"Los Angeles, CA",5/1/2017,5/31/2017,1.00348897,2757,7081,34,689950,2.6,3671,30,0.171585934,0.460645629
National,3/1/2014,3/31/2014,0.973309746,179287,737884,67,257400,4.1,269829,30,0.130780719,0.191871963
"San Jose, CA",2/1/2017,2/28/2017,1.031249615,490,667,21,800000,1.4,669,30,0.098950525,0.66122449
"San Francisco, CA",6/1/2017,6/30/2017,1.107922549,560,784,20,1150000,1.4,606,30,0.179846939,0.701785714
"San Jose, CA",1/1/2013,1/31/2013,1.025501389,520,585,15,546944,1.1,647,30,0.145299145,0.6
"San Jose, CA",8/1/2016,8/31/2016,1.018216985,822,1327,32,788500,1.6,862,30,0.243406179,0.599269184
"San Jose, CA",7/1/2015,7/31/2015,1.046981022,949,1171,15,749894,1.2,1085,30,0.172502135,0.749209694
"San Francisco, CA",7/1/2015,7/31/2015,1.131613135,526,578,15,1015000,1.1,589,30,0.110726644,0.8
"San Diego, CA",5/1/2012,5/31/2012,0.976719935,1525,3019,32,389900,2,1644,30,0.239483273,0.242622951
"Washington, DC",2/1/2013,2/28/2013,0.985462002,491,1161,43,450000,2.4,698,30,0.187769165,0.253061224
"San Jose, CA",1/1/2015,1/31/2015,1.01549111,470,629,32,674995,1.3,585,30,0.101748808,0.508510638
"Washington, DC",2/1/2016,2/29/2016,1.001814388,518,1306,34,549000,2.5,795,30,0.209035222,0.32046332
"Chicago, IL",5/1/2015,5/31/2015,0.982157458,3234,13577,58,269900,4.2,4657,30,0.186933785,0.25974026
"San Francisco, CA",4/1/2012,4/30/2012,1.020251938,552,966,18,714000,1.8,638,30,0.14699793,0.47826087
"Los Angeles, CA",8/1/2016,8/31/2016,0.999415974,2689,7689,32,619000,2.9,3685,30,0.213291715,0.402751952
